date,season,neutral,playoff,team1,team2,elo1,elo2,score1,score2,elo_prob1,result1
1925-10-11,1925,0,0,CHI,HAM,1582.135,1467.883,28,7,0.6766778624619751,1.0
1925-10-11,1925,0,0,DPN,FYJ,1337.683,1607.312,3,0,0.23001797199236867,1.0
1925-10-11,1925,0,0,ARI,COL,1506.701,1454.899,19,9,0.6010951102859986,1.0
1925-10-11,1925,0,0,PTB,CBD,1476.498,1515.818,28,0,0.5252709224796684,1.0
1925-10-17,1925,0,0,FYJ,NYG,1583.939,1291.915,5,3,0.8804947460906302,1.0
1925-10-18,1925,0,0,CHI,CIB,1597.153,1527.38,7,0,0.6241110160060922,1.0
1925-10-18,1925,0,0,CBD,AKR,1484.989,1473.258,3,20,0.5894149828788288,0.0
1925-10-18,1925,0,0,BFF,COL,1413.617,1439.508,17,6,0.5283695919521186,1.0
1925-10-18,1925,0,0,DPN,DAY,1361.055,1414.348,6,0,0.5064444284324756,1.0
1925-10-18,1925,0,0,ARI,KCB,1522.092,1375.636,20,7,0.744764592853164,1.0
1925-10-18,1925,0,0,PRV,PTB,1520.857,1507.327,0,34,0.5982059979428954,0.0
1925-10-18,1925,0,0,GB,RII,1583.355,1545.245,20,0,0.6202590910577495,1.0
1925-10-18,1925,0,0,NYG,FYJ,1289.769,1586.085,0,14,0.2040595434887917,0.0
1925-10-24,1925,0,0,FYJ,DAY,1596.323,1395.644,3,0,0.8137533554655771,1.0
1925-10-25,1925,0,0,RII,KCB,1524.549,1364.637,3,3,0.7658358214868133,0.5
1925-10-25,1925,0,0,GB,RCH,1604.051,1362.668,33,13,0.8116316735008056,1.0
1925-10-25,1925,0,0,ARI,CHI,1533.091,1609.506,9,0,0.5023929553476708,1.0
1925-10-25,1925,0,0,DPN,AKR,1379.76,1509.714,0,0,0.3901032760182801,0.5
1925-10-31,1925,0,0,FYJ,COL,1600.729,1417.83,19,0,0.7930853220350177,1.0
1925-11-01,1925,0,0,ARI,DUL,1556.997,1451.238,10,6,0.7199622934224039,1.0
1925-11-01,1925,0,0,DPN,HAM,1382.578,1452.865,26,6,0.5000430307729942,1.0
1925-11-01,1925,0,0,AKR,DAY,1506.896,1391.238,17,3,0.7370205130786123,1.0
1925-11-01,1925,0,0,BFF,FYJ,1435.295,1611.151,3,12,0.33245399537957354,0.0
1925-11-01,1925,0,0,MIL,GB,1432.605,1611.872,0,6,0.3223334407001566,0.0
1925-11-01,1925,0,0,CHI,RII,1585.6,1515.858,6,0,0.6447249220985087,1.0
1925-11-01,1925,0,0,NYG,CIB,1279.531,1515.027,19,0,0.27727680251551384,1.0
1925-11-01,1925,0,0,PTB,COL,1552.391,1407.407,20,0,0.7585412754753544,1.0
1925-11-01,1925,0,0,PRV,RCH,1475.793,1354.847,17,0,0.7213234917799978,1.0
1925-11-03,1925,0,0,NYG,BFF,1326.774,1420.14,7,0,0.4534886478561875,1.0
1925-11-07,1925,0,0,FYJ,AKR,1626.306,1519.968,17,7,0.71092844420227,1.0
1925-11-08,1925,0,0,DPN,MIL,1413.561,1419.98,21,0,0.6183556237402272,1.0
1925-11-08,1925,0,0,PTB,AKR,1565.171,1507.881,21,0,0.6549411043394582,1.0
1925-11-08,1925,0,0,PRV,BFF,1489.403,1397.358,10,0,0.7102851814853686,1.0
1925-11-08,1925,0,0,CBD,CIB,1448.532,1467.784,6,0,0.573014210268968,1.0
1925-11-08,1925,0,0,NYG,COL,1349.556,1394.627,19,0,0.5131410938534565,1.0
1925-11-08,1925,0,0,CHI,FYJ,1597.161,1638.393,19,0,0.46464379268179545,1.0
1925-11-08,1925,0,0,ARI,GB,1565.131,1624.497,9,6,0.49925094365976114,1.0
1925-11-11,1925,0,0,NYG,RCH,1377.543,1341.237,13,0,0.6153784480432106,1.0
1925-11-11,1925,0,0,DPN,CIB,1438.64,1451.217,22,13,0.5754869935590531,1.0
1925-11-14,1925,0,0,FYJ,PTB,1610.78,1584.553,20,0,0.6073632102603816,1.0
1925-11-15,1925,0,0,NYG,PRV,1395.618,1502.305,13,12,0.4294941276464332,1.0
1925-11-15,1925,0,0,PTB,RCH,1562.824,1323.163,14,6,0.8383783984295341,1.0
1925-11-15,1925,0,0,RII,KCB,1504.297,1373.327,35,12,0.7342774797243353,1.0
1925-11-15,1925,0,0,ARI,BFF,1578.734,1384.456,23,6,0.7901939428344078,1.0
1925-11-15,1925,0,0,GB,DAY,1610.893,1378.167,7,0,0.8204723073466127,1.0
1925-11-15,1925,0,0,CHI,DPN,1624.774,1457.762,14,0,0.748044440807797,1.0
1925-11-21,1925,0,0,FYJ,CIB,1632.509,1432.095,0,14,0.8195969248238678,0.0
1925-11-22,1925,0,0,ARI,DAY,1588.226,1372.575,14,0,0.809336468230843,1.0
1925-11-22,1925,0,0,CHI,GB,1634.976,1616.486,21,0,0.5945575919872318,1.0
1925-11-22,1925,0,0,RII,MIL,1518.567,1394.901,40,7,0.7497038528604583,1.0
1925-11-22,1925,0,0,DPN,RCH,1447.56,1317.467,20,0,0.729005376439529,1.0
1925-11-22,1925,0,0,NYG,KCB,1403.527,1359.056,9,3,0.6605542808652768,1.0
1925-11-22,1925,0,0,PTB,CIB,1568.52,1482.704,24,6,0.7090666293883915,1.0
1925-11-22,1925,0,0,CBD,COL,1465.099,1366.639,6,0,0.7100012354047415,1.0
1925-11-22,1925,0,0,PRV,FYJ,1494.396,1581.899,20,7,0.4666333802057629,1.0
1925-11-26,1925,0,0,CIB,KCB,1466.411,1346.174,0,17,0.7364847371359085,0.0
1925-11-26,1925,0,0,PTB,GB,1584.813,1593.727,31,0,0.6085773319345229,1.0
1925-11-26,1925,0,0,DPN,RII,1461.288,1534.96,3,6,0.5022184423822288,0.0
1925-11-26,1925,0,0,CHI,ARI,1657.735,1596.191,0,0,0.6500628143029342,0.5
1925-11-28,1925,0,0,FYJ,GB,1553.511,1565.34,13,7,0.5943768600867494,1.0
1925-11-29,1925,0,0,ARI,RII,1601.512,1548.424,7,0,0.6501757046799062,1.0
1925-11-29,1925,0,0,NYG,DAY,1416.409,1364.61,23,0,0.6589309195833968,1.0
1925-11-29,1925,0,0,CHI,COL,1652.414,1356.47,14,13,0.8619419129712481,1.0
1925-11-29,1925,0,0,PRV,CIB,1522.783,1419.455,7,7,0.7293763395260932,0.5
1925-11-29,1925,0,0,PTB,FYJ,1613.2,1569.626,49,0,0.6462982129845236,1.0
1925-12-05,1925,0,0,CHI,FYJ,1653.739,1543.631,14,7,0.6915791037301069,1.0
1925-12-06,1925,0,0,NYG,CHI,1436.808,1664.039,7,19,0.313229695761688,0.0
1925-12-06,1925,0,0,PRV,GB,1515.924,1549.225,10,13,0.572254715305214,0.0
1925-12-06,1925,0,0,ARI,PTB,1614.786,1639.195,7,21,0.5167604823290042,0.0
1925-12-06,1925,0,0,CIB,CBD,1426.314,1475.268,6,0,0.4959592571267725,1.0
1925-12-09,1925,0,0,PRV,CHI,1500.579,1677.518,9,6,0.37530420823603516,1.0
1925-12-10,1925,0,0,ARI,MIL,1583.988,1378.508,59,0,0.8277890110700519,1.0
1925-12-12,1925,0,0,CIB,FYJ,1444.741,1533.331,3,0,0.45436895030980107,1.0
1925-12-12,1925,0,0,DPN,CHI,1447.824,1658.363,21,0,0.3235742696735848,1.0
1925-12-12,1925,0,0,ARI,HAM,1596.682,1421.882,13,0,0.7832994778123815,1.0
1925-12-13,1925,0,0,NYG,CHI,1423.328,1612.155,9,0,0.35418356498290227,1.0
1925-12-13,1925,0,0,PRV,FYJ,1519.734,1518.368,6,14,0.5946113703762843,0.0
1925-12-20,1925,0,0,CIB,FYJ,1459.704,1545.299,7,13,0.45970605583279084,0.0
1926-09-19,1926,0,0,DUL,KCB,1463.736,1430.42,7,0,0.6141351517708363,1.0
1926-09-19,1926,0,0,ARI,COL,1572.497,1405.097,14,0,0.7701374687612291,1.0
1926-09-19,1926,0,0,GB,DPN,1544.714,1497.688,21,0,0.629924654497978,1.0
1926-09-19,1926,0,0,MIL,CHI,1412.209,1554.607,7,10,0.3768429614342771,0.0
1926-09-25,1926,0,0,FYJ,AKR,1543.958,1494,6,6,0.6392207973822577,0.5
1926-09-26,1926,0,0,ARI,LAB,1582.68,1300,15,0,0.8683433376820883,1.0
1926-09-26,1926,0,0,BFF,AKR,1418.31,1498.869,7,0,0.45995929055304363,1.0
1926-09-26,1926,0,0,PRV,BRL,1496.869,1300,13,0,0.8120170120707029,1.0
1926-09-26,1926,0,0,GB,CHI,1564.958,1565.064,6,6,0.5859950544516954,0.5
1926-09-26,1926,0,0,CBD,COL,1472.894,1394.914,2,14,0.6861705271156445,0.0
1926-09-26,1926,0,0,MIL,DPN,1401.752,1477.443,6,0,0.4545977622938895,1.0
1926-09-26,1926,0,0,RAC,HAM,1403.384,1443.212,6,3,0.5368115884705672,1.0
1926-09-26,1926,0,0,HRT,NYG,1413.889,1472.382,0,21,0.4999312891617334,0.0
1926-10-02,1926,0,0,FYJ,HRT,1539.088,1382.306,13,0,0.7680949552041304,1.0
1926-10-03,1926,0,0,MIL,LAB,1421.908,1294.299,0,6,0.7244901091146613,0.0
1926-10-03,1926,0,0,CBD,LOU,1434.77,1307.201,13,0,0.7451772060107599,1.0
1926-10-03,1926,0,0,PRV,NYG,1505.421,1503.965,6,7,0.5866727896879645,0.0
1926-10-03,1926,0,0,ARI,RAC,1588.381,1416.099,20,0,0.7781552448274548,1.0
1926-10-03,1926,0,0,DPN,CHI,1457.288,1567.879,7,10,0.43946047504720454,0.0
1926-10-03,1926,0,0,HRT,FYJ,1371.848,1549.547,0,10,0.33991022559467154,0.0
1926-10-03,1926,0,0,AKR,HAM,1476.989,1430.497,17,0,0.65647527885015,1.0
1926-10-03,1926,0,0,PTB,COL,1614.995,1433.039,3,0,0.7959282277023744,1.0
1926-10-03,1926,0,0,BFF,DAY,1440.19,1397.807,0,3,0.6389267740970409,0.0
1926-10-03,1926,0,0,GB,DUL,1562.143,1478.154,0,0,0.6961739790559242,0.5
1926-10-09,1926,0,0,FYJ,BFF,1565.207,1421.249,30,0,0.7583359233472801,1.0
1926-10-10,1926,0,0,PRV,COL,1496.923,1428.192,19,0,0.6755650344157731,1.0
1926-10-10,1926,0,0,PTB,DAY,1619.842,1416.748,24,6,0.816700530773209,1.0
1926-10-10,1926,0,0,HAM,DUL,1411.524,1484.32,0,26,0.4914920517600331,0.0
1926-10-10,1926,0,0,BRL,HRT,1291.448,1356.188,6,0,0.4885625917742919,1.0
1926-10-10,1926,0,0,DPN,KCB,1445.478,1416.002,10,0,0.6250376565681522,1.0
